"Last  4809","JAIN SLEE 1.0 API Javadoc Assertions",,,,,,"T?: 0","High:174","1376 (ex methods)",22,168,354,24,24,318,,449,0,0,3
3256,,,"3","Pfd2","Repeat",716,,,"The effects of this method are not incremental or cumulative.",,,,,,,,,,,
3257,,,"4","Pfd2","Impossible",,,,"This method is a mandatory transactional method.",,"We never have a guaranteed 'non-transactional' context to test from.",,,,,,,,,
3258,,,"4","Pfd2","Repeat","720",,,"The effects of an invocation of this method are not persistent and visible beyond the current transaction until after the transaction commits.",,"impossible to test? Can test rollback?",,,,,,,,,
3259,,,"4","Pfd2","Assertion",,,"Low","The SBB object must have an assigned SBB entity when in invokes this method.",,,,,,,,,,,
3260,,,"6.1","Pfd2","Assertion",,,"Low","java.lang.NullPointerException - if aci is null",,,,,,,,,,,
3261,,,"6.2","Pfd2","Impossible",,,,"TransactionRequiredLocalException - if this method is invoked without a valid transaction context.",,"We never have a guaranteed 'non-transactional' context to test from.",,,,,,,,,
3262,,,"6.3","Pfd2","Assertion",,,"Low","java.lang.IllegalStateException - if the SBB object invoking this method is not assigned to an SBB entity.",,,,,,,,,,,
3263,,,"6.4","Pfd2","Assertion",,,"Low","UnrecognizedException - if one of the event names does not correspond with the name of an event the SBB receives",,,,,,,,,,,
3264,,,"6.5","Pfd2","Assertion",,,"High","NotAttachedException - if the SBB entity is not attached to the specified Activity Context",,,"Test724Test",,,"See events/getEventMask","Cath","Complete",,,
3265,,,"6.6","Pfd2","Impossible",,,,"SLEEException - if the event mask could not be set due to a system-level failure.",,,,,,,,,,,
3266,"javax.slee.SbbContext","getEventMask",,"Pfd2","Method","725,726",,,,,,,,,,,"Complete",,,
3267,,,"1","Pfd2","Context",,,,"Get the event mask currently set for an Activity Context for the SBB entity currently associated with the instance.",,,,,,,,,,,
3268,,,"2 ","Pfd2","Repeat",725,,,"If the SBB entity has not invoked the maskEvent method to set an event mask after the SBB entity has (re)attached to the Activity Context, then the set of event names returned by  this method is the set of event names of <event> elements whose mask-on-attach attribute is set to true.",,,,,,,,,,,
3269,,,"2 ","Pfd2","Repeat",726,,,"Otherwise, the set of event names returned by this method is the same as the set of event names specified by the most recent maskEvent method for the same SBB entity and Activity Context.",,,,,,,,,,,
3270,,,"3","Pfd2","Impossible",,,,"This method is a mandatory transactional method.",,"We never have a guaranteed 'non-transactional' context to test from.",,,,,,,,,
3271,,,"3","Pfd2","Assertion",,,"Low","The SBB object must have an assigned SBB entity when in invokes this method.",,,,,,,,,,,
3272,,,"4","Pfd2","Covered",725726,,,"Returns an array of event names identifying the event types that have been masked.",,,,,,,,,,,
3273,,,"5.1","Pfd2","Assertion",,,"Low","java.lang.NullPointerException - if aci is null",,,,,,,,,,,
3274,,,"5.2","Pfd2","Impossible",,,,"TransactionRequiredLocalException - if this method is invoked without a valid transaction context.",,"We never have a guaranteed 'non-transactional' context to test from.",,,,,,,,,
3275,,,"5.3","Pfd2","Assertion",,,"Low","java.lang.IllegalStateException - if the SBB object invoking this method is not assigned to an SBB entity.",,,,,,,,,,,
3276,,,"5.4","Pfd2","Repeat",724,,,"NotAttachedException - if the SBB entity is not attached to the specified Activity Context",,,,,,,,,,,
3277,,,"5.5","Pfd2","Impossible",,,,"SLEEException - if the event mask could not be obtained due to a system-level failure.",,,,,,,,,,,
3278,"javax.slee.SbbContext","setRollbackOnly",,"Pfd2","Method",3281,,,,,,,,,,,"Complete",,,
3279,,,"1","Pfd2","Context",,,,"Mark the current transaction fol rollback.",,,,,,,,,,,
3280,,,"1","Pfd2","Covered",3281,,,"The transaction will become permanently marked for rollback.",,,,,,,,,,,
3281,,,"1","Pfd2","Assertion",,,"High","A transaction marked for rollback can never commit.",,,"Test3281Test",,,"Fire events A and B on the same activity.  While handling event A set a CMP field to some value, then call SbbContext.setRollbackOnly().  In Event B's handler check the value of the CMP field - it should be as it was before Event A's handler modified the value.","Cath","Complete",,,
3282,,,"2 ","Pfd2","Context",,,,"An SBB object invokes this method when it does not want the current transaction to commit.",,,,,,,,,,,
3283,,,"3","Pfd2","Impossible",,,,"This method is a mandatory transactional method.",,"We never have a guaranteed 'non-transactional' context to test from.",,,,,,,,,
3284,,,"4.1","Pfd2","Impossible",,,,"TransactionRequiredLocalException - if this method is invoked without a valid transaction context.",,"We never have a guaranteed 'non-transactional' context to test from.",,,,,,,,,
3285,,,"4.2","Pfd2","Impossible",,,,"SLEEException - if the current transaction could not be marked for rollback due to a system-level failure.",,,,,,,,,,,
3286,"javax.slee.SbbContext","getRollbackOnly",,"Pfd2","Method",3289,,,,,,,,,,,"Complete",,,
3287,,,"1","Pfd2","Context",,,,"Test if the current transaction has been marked for rollback only.  An SBB object invokes this method while executing within a transaction to determine if the transaction has been marked for rollback.",,,,,,,,,,,
3288,,,"2 ","Pfd2","Impossible",,,,"This method is a mandatory transactional method.",,"We never have a guaranteed 'non-transactional' context to test from.",,,,,,,,,
3289,,,"3","Pfd2","Assertion",,,"High","Returns true if the current transaction has been marked for rollback, otherwise false.",,,"Test3289Test",,,"Call getRollbackOnly() before marking the transaction for rollback through setRollbackOnly(), call getRollbackOnly() again afterwards.","Cath","Complete",,,
3290,,,"4.1","Pfd2","Impossible",,,,"TransactionRequiredLocalException - if this method is invoked without a valid transaction context.",,"We never have a guaranteed 'non-transactional' context to test from.",,,,,,,,,
3291,,,"4.2","Pfd2","Impossible",,,,"SLEEException - if the current state of the transaction could not be obtained due to a system-level failure.",,,,,,,,,,,
3292,"javax.slee.SbbID",,"1","Pfd2","Context",,,,"The SbbID interface is a marker interface implemented by every Java object that encapsulates SBB component identity.  An SbbID object is also known as an SBB identifier.",,,,,,,,,,,
3293,"javax.slee.SbbLocalObject",,"1","Pfd2","Ap Req",,,"Low","The SbbLocalObject interface must be extended by all SBB local interfaces used for synchronous SBB invocations.",,,,,,,,,,,
3294,"javax.slee.SbbLocalObject","isIdentical",,"Pfd2","Method",3297,,,,,,,,,,,"Complete",,,
3295,,,"1","Pfd2","Context",,,,"Compare this SbbLocalObject for identity equality with another.",,,,,,,,,,,
3296,,,"2 ","Pfd2","Impossible",,,,"This method is a mandatory transactional method.",,"We never have a guaranteed 'non-transactional' context to test from.",,,,,,,,,
3297,,,"4.1","Pfd2","Assertion",,,"High","Returns true if obj is a reference to an SBB entity with the same identity as the SBB entity referenced by this SbbLocalObject object, false otherwise.",,,"Test3297Test",,,"Get two SbbLocalObject references that should be identical, ensure that this method returns true.  Get two SbbLocalObject references that should not be identical, ensure that this method returns false.","Cath","Complete",,,
3298,,,"5.1","Pfd2","Impossible",,,,"TransactionRequiredLocalException - if this method is invoked without a valid transaction context.",,"We never have a guaranteed 'non-transactional' context to test from.",,,,,,,,,
3299,,,"5.2","Pfd2","Impossible",,,,"SLEEException - if the equality test could not be completed due to a system-level failure.",,,,,,,,,,,
3300,"javax.slee.SbbLocalObject","setSbbPriority",,"Pfd2","Method","3301,3303",,,,,,,,,,,"Complete",,,
3301,,,"1","Pfd2","Assertion",,,"High","Set the invocation priority for the SBB entity referenced by this SbbLocalObject.",,,"Test3301Test",,,"Call SbbLocalObject.setPriority() and somehow check what the invocation priority of the SBB now is.","Cath","Complete",,,
3302,,,"2 ","Pfd2","Impossible",,,,"This method is a mandatory transactional method.",,"We never have a guaranteed 'non-transactional' context to test from.",,,,,,,,,
3303,,,"3","Pfd2","Covered","296",,,"The valid range for priorities is -128 to 127.",,"The invalid cases are detected by the complier; test boundary values for the valid cases (-128,-1,0,1,127)",,,,,,,,,
3304,,,"4.1","Pfd2","Impossible",,,,"TransactionRequiredLocalException - if this method is invoked without a valid transaction context.",,"We never have a guaranteed 'non-transactional' context to test from.",,,,,,,,,
3305,,,"4.2","Pfd2","Assertion",,,"Low","NoSuchObjectLocalException - If the SBB entity referenced by this SbbLocalObject is no longer valid.",,,,,,,,,,,
3306,,,"4.3","Pfd2","Assertion",,,"Low","NoSuchObjectLocalException - if sbb does not reference a valid SBB entity",,,,,,,,,,,
3307,,,"4.4","Pfd2","Impossible",,,,"SLEEException - if the priority could not be set due to a system-level failure.",,,,,,,,,,,
3308,"javax.slee.SbbLocalObject","getSbbPriority",,"Pfd2","Method",3311,,,,,,,,,,,"Complete",,,
3309,,,"1","Pfd2","Context",,,,"Get the invocation priority for the SBB entity referenced by this SbbLocalObject.",,,,,,,,,,,
3310,,,"2 ","Pfd2","Impossible",,,,"This method is a mandatory transactional method.",,"We never have a guaranteed 'non-transactional' context to test from.",,,,,,,,,
3311,,,"3","Pfd2","Assertion",,,"High","Returns the priority of the SBB entity.",,,"Test3311Test",,,"Set the priority to a certain value and check that this value is returned by getSbbPriority()","Cath","Complete",,,
3312,,,"4.1","Pfd2","Impossible",,,,"TransactionRequiredLocalException - if this method is invoked without a valid transaction context.",,"We never have a guaranteed 'non-transactional' context to test from.",,,,,,,,,
3313,,,"4.2","Pfd2","Assertion",,,"Low","NoSuchObjectLocalException - If the SBB entity referenced by this SbbLocalObject is no longer valid.",,,,,,,,,,,
3314,,,"4.3","Pfd2","Impossible",,,,"SLEEException - if the SBB's priority could not be obtained due to a system -level failure.",,,,,,,,,,,
3315,"javax.slee.SbbLocalObject","remove",,"Pfd2","Method","3316,3317,3318",,,,,,,,,,,"Complete",,,
3316,,,"1","Pfd2","Assertion",,,"High","Remove the SBB entity referenced by this SbbLocalObject.",,,"Test3316Test",,,"Check that the SBB removed really has been removed - perhaps by checking its parents ChildRelation class for its lack of presence.","Cath","Complete",,,
3317,,,"1","Pfd2","Assertion",,,"High","Any children of the removed SBB entity will also be removed.",,,"Test3317Test",,,"Remove an SBB entity that has children.  Ensure that its children are also removed by ...","Cath","Complete",,,
3318,,,"1","Pfd2","Assertion",,,"High","Any removed SBB entity is automatically detached from any Activity Contexts it is attached to.",,"test AC can end","Test3318Test",,,,"Cath","Complete",,,
3319,,,"2 ","Pfd2","Impossible",,,,"This method is a mandatory transactional method.",,"We never have a guaranteed 'non-transactional' context to test from.",,,,,,,,,
3320,,,"3.1","Pfd2","Impossible",,,,"TransactionRequiredLocalException - if this method is invoked without a valid transaction context.",,"We never have a guaranteed 'non-transactional' context to test from.",,,,,,,,,
3321,,,"3.2","Pfd2","Assertion",,,"Low","NoSuchObjectLocalException - If the SBB entity referenced by this SbbLocalObject is no longer valid.",,,,,,,,,,,
3322,,,"3.3","Pfd2","Impossible",,,,"SLEEException - if the SBB entity could not be removed due to a system-level failure.",,,,,,,,,,,
3323,"javax.slee.ServiceID",,"1","Pfd2","Context",,,,"The ServiceID interface is a marker interface implemented by every Java object that encapsulates Service component identity.  A ServiceID object is also known as a Service identifier.",,,,,,,,,,,
3324,"javax.slee.Address",,,"Pfd2","Context",,,,"The Address class encapsulates an address that can be used by the SLEE.",,,,,,,,,,,
3325,,,,"Pfd2","Context",,,,"An address consists of the the following two components:",,,,,,,,,,,
3326,,,,"Pfd2","Context",,,,"Address Plan - the plan that defines the address or numbering type and the format of the address string.",,,,,,,,,,,
3327,,,,"Pfd2","Context",,,,"Address String - some combination of alphanumeric characters and symbols that identify an address within the domain identified by the address plan.",,,,,,,,,,,
3328,,,,"Pfd2","Self-Evident",,,,"An Address object is immutable.",,,,,,,,,,,
3329,"javax.slee.Address","Address(AddressPlan addressPlan, java.lang.String addressString)",,"Pfd2","Method","3330",,,,,,,,,,,,,,
3330,,,"1","Pfd2","Assertion",,,"Low","Create a new Address using an address plan and address string.",,,,,,,,,,,
3331,,,"3.1","Pfd2","Assertion",,,"Low","java.lang.NullPointerException - if either addressPlan or addressString is null.",,,,,,,,,,,
3332,,,"3.2","Pfd2","Assertion",,,"Low","java.lang.IllegalArgumentException is addressString is zero-length.",,,,,,,,,,,
3333,"javax.slee.Address","Address(AddressPlan addressPlan, java.lang.String addressString, AddressPresentation addressPresentation, AddressScreening addresScreening, java.lang.String subAddressString, java.lang.String addressName)",,"Pfd2","Method",,,,,,,"Test3333Test",,,,"Cath","Complete",,,
4474,,,"1","Pfd2","Assertion",,,"Low","Create a new Address using an address plan, an address string, an additional optional attributes",,,,,,,,,,,
3334,,,"3.1","Pfd2","Assertion",,,"Low","java.lang.NullPointerException - if either addressPlan or addressString is null.",,,,,,,,,,,
3335,,,"3.2","Pfd2","Assertion",,,"Low","java.lang.IllegalArgumentException is addressString is zero-length.",,,,,,,,,,,
3336,"javax.slee.Address","getAddressPlan",,"Pfd2","Method","3333",,,,,,,,,,,,,,
3337,,,"2 ","Pfd2","Assertion",,,"Low","Returns the address plan.",,,,,,,,,,,
3338,"javax.slee.Address","getAddressString",,"Pfd2","Method","3333",,,,,,,,,,,,,,
3339,,,"2 ","Pfd2","Assertion",,,"Low","Returns the address string.",,,,,,,,,,,
3340,"javax.slee.Address","getAddressPresentation",,"Pfd2","Method","3333",,,,,,,,,,,,,,
3341,,,"2 ","Pfd2","Assertion",,,"Low","Returns the address presentation attribute, or null if no address presentation attribute was specified.",,,,,,,,,,,
3342,"javax.slee.Address","getAddressScreening",,"Pfd2","Method","3333",,,,,,,,,,,,,,
3343,,,"2 ","Pfd2","Assertion",,,"Low","Returns the addressScreening attribute, or null if no address screening attribute was specified.",,,,,,,,,,,
3344,"javax.slee.Address","getSubAddressString",,"Pfd2","Method","3333",,,,,,,,,,,,,,
3345,,,"2 ","Pfd2","Assertion",,,"Low","Returns the sub-address string, or null if no sub-address string was specified.",,,,,,,,,,,
3346,"javax.slee.Address","getAddressName",,"Pfd2","Method","3333",,,,,,,,,,,,,,
3347,,,"2 ","Pfd2","Assertion",,,"Low","Returns the address name, or null if no address name was specified.",,,,,,,,,,,
3348,"javax.slee.Address","equals",,"Pfd2","Method","3349",,,,,,,,,,,,,,
3349,,,"4","Pfd2","Assertion",,,"Low","Returns true if obj is an instance of this class containing the same address plan and address string as this, false otherwise.",,,,,,"Compare the same object with itself and with a different object.",,,,,
3350,"javax.slee.Address","hashCode",,"Pfd2","Method","3333",,,,,,,,,,,,,,
3351,,,"3","Pfd2","Assertion",,,"Low","Returns a hash code value.",,,,,,,,,,,
3352,"javax.slee.Address","toString",,"Pfd2","Method","3333",,,,,,,,,,,,,,
3353,,,"3","Pfd2","Assertion",,,"Low","Returns the textual representation of the address object.",,,,,,,,,,,
3354,"javax.slee.AddressPlan",,"1","Pfd2","Context",,,,"This class defines an enumerated type that encapsulates the values available for address or numbering plans.  An address plan specifies the format and structure of an associated address string.  A numbering plan typically consists of decimal digits segmented into groups in order to identify specific elements used for identification, routing, and charging capablities.",,,,,,,,,,,
3355,,,"2 ","Pfd2","Assertion",,,"Low","A singleton instance of each enumerated value is guaranteed so that equality tests uses == are always evaluated correctly.",,,,,,,,,,,
3356,"javax.slee.AddressPlan","fromInt",,"Pfd2","Method",,,,,,,"Test3356Test",,,,"Cath","Complete",,,
3357,,,"3","Pfd2","Assertion",,,"Low","Returns an AddressPlan object corresponding to plan.",,,,,,,,,,,
3358,,,"4.1","Pfd2","Assertion",,,"Low","java.lang.IllegalArgumentException if plan is not a valid address plan value.",,,,,,,,,,,
3359,"javax.slee.AddressPlan","toInt",,"Pfd2","Method","3360",,,,,,,,,,,,,,
3360,,,"2 ","Pfd2","Assertion",,,"Low","Returns an integer value representation for this AddressPlon object.",,,"Test3356Test",,,,"Cath","Complete",,,
3361,"javax.slee.AddressPlan","isNotPresent",,"Pfd2","Method","3363",,,,,,,,,,,,,,
3362,,,"1","Pfd2","Context",,,,"Determine if this AddressPlan object represents the NOT_PRESENT address plan value.",,,,,,,,,,,
3363,,,"4","Pfd2","Assertion",,,"Low","Returns true if this object represents the NOT_PRESENT address plan value, false otherwise.",,,"Test3356Test",,,"Call AddressPlan.isNotPresent() on a plan matching NOT_PRESENT and not matching NOT_PRESENT.  Verify that correct values are returned.","Cath","Complete",,,
3364,"javax.slee.AddressPlan","isUndefined",,"Pfd2","Method","3365",,,,,,,,,,,,,,
3365,,,"4","Pfd2","Assertion",,,"Low","Returns true if this object represents the UNDEFINED address plan value, false otherwise.",,,"Test3356Test",,,"Call function and verify that it returns true when presented with the right type of  address plan and false if presented with the wrong.","Cath","Complete",,,
3366,"javax.slee.AddressPlan","isIP",,"Pfd2","Method","3356",,,,,,,,,,,,,,
3367,,,"4","Pfd2","Assertion",,,"Low","Returns true if this object represents the IP address plan value, false otherwise.",,,"Test3356Test",,,"Call function and verify that it returns true when presented with the right type of  address plan and false if presented with the wrong.","Cath","Complete",,,
3368,"javax.slee.AddressPlan","isMulticast",,"Pfd2","Method","3369",,,,,,,,,,,,,,
3369,,,"4","Pfd2","Assertion",,,"Low","Returns true if this object represents the MULTICAST address plan value, false otherwise.",,,"Test3356Test",,,"Call function and verify that it returns true when presented with the right type of  address plan and false if presented with the wrong.","Cath","Complete",,,
3370,"javax.slee.AddressPlan","isUnicast",,"Pfd2","Method","3371",,,,,,,,,,,,,,
3371,,,"4","Pfd2","Assertion",,,"Low","Returns true if this object represents the UNICAST address plan value, false otherwise.",,,"Test3356Test",,,"Call function and verify that it returns true when presented with the right type of  address plan and false if presented with the wrong.","Cath","Complete",,,
3372,"javax.slee.AddressPlan","isE164",,"Pfd2","Method","3373",,,,,,,,,,,,,,
3373,,,"4","Pfd2","Assertion",,,"Low","Returns true if this object represents the E164  address plan value, false otherwise.",,,"Test3356Test",,,"Call function and verify that it returns true when presented with the right type of  address plan and false if presented with the wrong.","Cath","Complete",,,
3374,"javax.slee.AddressPlan","isAESA",,"Pfd2","Method","3375",,,,,,,,,,,,,,
3375,,,"4","Pfd2","Assertion",,,"Low","Returns true if this object represents the AESA  address plan value, false otherwise.",,,"Test3356Test",,,"Call function and verify that it returns true when presented with the right type of  address plan and false if presented with the wrong.","Cath","Complete",,,
3376,"javax.slee.AddressPlan","isURI",,"Pfd2","Method","3377",,,,,,,,,,,,,,
3377,,,"4","Pfd2","Assertion",,,"Low","Returns true if this object represents the URI  address plan value, false otherwise.",,,"Test3356Test",,,"Call function and verify that it returns true when presented with the right type of  address plan and false if presented with the wrong.","Cath","Complete",,,
3378,"javax.slee.AddressPlan","isNSAP",,"Pfd2","Method","3379",,,,,,,,,,,,,,
3379,,,"4","Pfd2","Assertion",,,"Low","Returns true if this object represents the NSAP  address plan value, false otherwise.",,,"Test3356Test",,,"Call function and verify that it returns true when presented with the right type of  address plan and false if presented with the wrong.","Cath","Complete",,,
3380,"javax.slee.AddressPlan","isSMTP",,"Pfd2","Method","3381",,,,,,,,,,,,,,
3381,,,"4","Pfd2","Assertion",,,"Low","Returns true if this object represents the SMTP  address plan value, false otherwise.",,,"Test3356Test",,,"Call function and verify that it returns true when presented with the right type of  address plan and false if presented with the wrong.","Cath","Complete",,,
3382,"javax.slee.AddressPlan","isX400",,"Pfd2","Method","3383",,,,,,,,,,,,,,
3383,,,"4","Pfd2","Assertion",,,"Low","Returns true if this object represents the X400  address plan value, false otherwise.",,,"Test3356Test",,,"Call function and verify that it returns true when presented with the right type of  address plan and false if presented with the wrong.","Cath","Complete",,,
3384,"javax.slee.AddressPlan","isSIP",,"Pfd2","Method","3385",,,,,,,,,,,,,,
3385,,,"4","Pfd2","Assertion",,,"Low","Returns true if this object represents the SIP  address plan value, false otherwise.",,,"Test3356Test",,,"Call function and verify that it returns true when presented with the right type of  address plan and false if presented with the wrong.","Cath","Complete",,,
3386,"javax.slee.AddressPlan","isE164Mobile",,"Pfd2","Method","3387",,,,,,,,,,,,,,
3387,,,"4","Pfd2","Assertion",,,"Low","Returns true if this object represents the E164_MOBILE  address plan value, false otherwise.",,,"Test3356Test",,,"Call function and verify that it returns true when presented with the right type of  address plan and false if presented with the wrong.","Cath","Complete",,,
3388,"javax.slee.AddressPlan","isH323",,"Pfd2","Method","3389",,,,,,,,,,,,,,
3389,,,"4","Pfd2","Assertion",,,"Low","Returns true if this object represents the H323  address plan value, false otherwise.",,,"Test3356Test",,,"Call function and verify that it returns true when presented with the right type of  address plan and false if presented with the wrong.","Cath","Complete",,,
3390,"javax.slee.AddressPlan","isGT",,"Pfd2","Method","3391",,,,,,,,,,,,,,
3391,,,"4","Pfd2","Assertion",,,"Low","Returns true if this object represents the GT  address plan value, false otherwise.",,,"Test3356Test",,,"Call function and verify that it returns true when presented with the right type of  address plan and false if presented with the wrong.","Cath","Complete",,,
3392,"javax.slee.AddressPlan","isSSN",,"Pfd2","Method","3393",,,,,,,,,,,,,,
3393,,,"4","Pfd2","Assertion",,,"Low","Returns true if this object represents the SSN  address plan value, false otherwise.",,,"Test3356Test",,,"Call function and verify that it returns true when presented with the right type of  address plan and false if presented with the wrong.","Cath","Complete",,,
3394,"javax.slee.AddressPlan","isSleeProfileTable",,"Pfd2","Method","3395",,,,,,,,,,,,,,
3395,,,"4","Pfd2","Assertion",,,"Low","Returns true if this object represents the SLEE_PROFILE_TABLE  address plan value, false otherwise.",,,"Test3356Test",,,"Call function and verify that it returns true when presented with the right type of  address plan and false if presented with the wrong.","Cath","Complete",,,
3396,"javax.slee.AddressPlan","isSleeProfileTable",,"Pfd2","Method","3397",,,,,,,,,,,,,,
3397,,,"4","Pfd2","Assertion",,,"Low","Returns true if this object represents the SLEE_PROFILE  address plan value, false otherwise.",,,"Test3356Test",,,"Call function and verify that it returns true when presented with the right type of  address plan and false if presented with the wrong.","Cath","Complete",,,
3398,"javax.slee.AddressPlan","equals",,"Pfd2","Method","3399",,,,,,,,,,,,,,
3399,,,"4","Pfd2","Assertion",,,"Low","Returns true if obj is an instance of this class representing the same address plan value as this, false otherwise.",,,"Test3356Test",,,"Call equals with matching objects and non-matching objects.  Verify correct results received.","Cath","Complete",,,
3400,"javax.slee.AddressPlan","hashCode",,"Pfd2","Method","3401",,,,,,,,,,,,,,
3401,,,"3","Pfd2","Assertion",,,"Low","Returns a hash code value.",,,,,,,,,,,
3402,"javax.slee.AddressPlan","toString",,"Pfd2","Method","3403",,,,,,,,,,,,,,
3403,,,"3","Pfd2","Assertion",,,"Low","Returns the textual representation of the address plan object.",,,,,,,,,,,
3404,"javax.slee.AddressPresentation",,"2 ","Pfd2","Assertion",,,"Low","A singleton instance of each enumerated value is guaranteed so that equality tests uses == are always evaluated correctly.",,,,,,,,,,,
3405,"javax.slee.AddressPresentation","fromInt",,"Pfd2","Method","3406",,,,,,,,,,,,,,
3406,,,"1","Pfd2","Assertion",,,"Low","Returns an AddressPresentation object corresponding to value.",,,"Test3406Test",,,,"Cath","Complete",,,
3407,,,"4.1","Pfd2","Assertion",,,"Low","java.lang.IllegalArgumentException if value is not a valid address presentation value.",,,,,,,,,,,
3408,"javax.slee.AddressPresentation","toInt",,"Pfd2","Method","3409",,,,,,,,,,,,,,
3409,,,"2 ","Pfd2","Assertion",,,"Low","Returns an integer value representation for this AddressPresentation object.",,,"Test3406Test",,,,"Cath","Complete",,,
3410,"javax.slee.AddressPresentation","isUndefined",,"Pfd2","Method","3411",,,,,,,,,,,,,,
3411,,,"4","Pfd2","Assertion",,,"Low","Returns true if this object represents the UNDEFINED  address presentation value, false otherwise.",,,"Test3406Test",,,,"Cath","Complete",,,
3412,"javax.slee.AddressPresentation","isAllowed",,"Pfd2","Method","3413",,,,,,,,,,,,,,
3413,,,"4","Pfd2","Assertion",,,"Low","Returns true if this object represents the ALLOWED address presentation value, false otherwise.",,,"Test3406Test",,,,"Cath","Complete",,,
3414,"javax.slee.AddressPresentation","isRestricted",,"Pfd2","Method","3415",,,,,,,,,,,,,,
3415,,,"4","Pfd2","Assertion",,,"Low","Returns true if this object represents the RESTRICTED address presentation value, false otherwise.",,,"Test3406Test",,,,"Cath","Complete",,,
3416,"javax.slee.AddressPresentation","isAddressNotAvailable",,"Pfd2","Method","3417",,,,,,,,,,,,,,
3417,,,"4","Pfd2","Assertion",,,"Low","Returns true if this object represents the ADDRESS_NOT_AVAILABLE address presentation value, false otherwise.",,,"Test3406Test",,,,"Cath","Complete",,,
3418,"javax.slee.AddressPresentation","equals",,"Pfd2","Method","3419",,,,,,,,,,,,,,
3419,,,"4","Pfd2","Assertion",,,"Low","Returns true if obj is an instance of this class representing the same address presentation value as this, otherwise false.",,,"Test3406Test",,,,"Cath","Complete",,,
3420,"javax.slee.AddressPresentation","hashCode",,"Pfd2","Method","3421",,,,,,,,,,,,,,
3421,,,"3","Pfd2","Assertion",,,"Low","Returns a hash code value.",,,,,,,,,,,
3422,"javax.slee.AddressPresentation","toString",,"Pfd2","Method","3423",,,,,,,,,,,,,,
3423,,,"3","Pfd2","Assertion",,,"Low","Returns the textual representation of the address presentation object.",,,,,,,,,,,
3424,"javax.slee.AddressScreening",,"2 ","Pfd2","Assertion",,,"Low","A singleton instance of each enumerated value is guaranteed so that equality tests uses == are always evaluated correctly.",,,,,,,,,,,
3425,"javax.slee.AddressPresentation","fromInt",,"Pfd2","Method",,,,,,,"Test3425Test",,,,"Cath","Complete",,,
3426,,,"3","Pfd2","Assertion",,,"Low","Returns an AddressScreening object corresponding to value.",,,"Test3425Test",,,,"Cath","Complete",,,
3427,,,"4.1","Pfd2","Assertion",,,"Low","java.lang.IllegalArgumentException if value is not a valid address screening value.",,,,,,,,,,,
3428,"javax.slee.AddressPresentation","toInt",,"Pfd2","Method","3425",,,,,,,,,,,,,,
3429,,,"2 ","Pfd2","Assertion",,,"Low","Returns an integer value representation for this AddressScreening object.",,,"Test3425Test",,,"Create AddressScreening object, call toInt() verify that right value returned.","Cath","Complete",,,
3430,"javax.slee.AddressPresentation","isUndefined",,"Pfd2","Method","3425",,,,,,,,,,,,,,
3431,,,"4","Pfd2","Assertion",,,"Low","Returns true if this object represents the UNDEFINED address screening value, false otherwise.",,,"Test3425Test",,,"Create AddressScreening that matches and call method, verify true is returned.  Create AddressScreening that doesn't match, verify false returned.","Cath","Complete",,,
3432,"javax.slee.AddressPresentation","isUserNotVerified",,"Pfd2","Method","3425",,,,,,,,,,,,,,
3433,,,"4","Pfd2","Assertion",,,"Low","Returns true if this object represents the USER_NOT_VERIFIED address screening value, false otherwise.",,,"Test3425Test",,,"Create AddressScreening that matches and call method, verify true is returned.  Create AddressScreening that doesn't match, verify false returned.","Cath","Complete",,,
3434,"javax.slee.AddressPresentation","isUserVerifiedPassed",,"Pfd2","Method","3425",,,,,,,,,,,,,,
3435,,,"4","Pfd2","Assertion",,,"Low","Returns true if this object represents the USER_VERIFIED_PASSED address screening value, false otherwise.",,,"Test3425Test",,,"Create AddressScreening that matches and call method, verify true is returned.  Create AddressScreening that doesn't match, verify false returned.","Cath","Complete",,,
3436,"javax.slee.AddressPresentation","isUserVerifiedFailed",,"Pfd2","Method","3425",,,,,,,,,,,,,,
3437,,,"4","Pfd2","Assertion",,,"Low","Returns true if this object represents the USER_VERIFIED_FAILED address screening value, false otherwise.",,,"Test3425Test",,,"Create AddressScreening that matches and call method, verify true is returned.  Create AddressScreening that doesn't match, verify false returned.","Cath","Complete",,,
3438,"javax.slee.AddressPresentation","isNetwork",,"Pfd2","Method","3425",,,,,,,,,,,,,,
3439,,,"4","Pfd2","Assertion",,,"Low","Returns true if this object represents the NETWORK address screening value, false otherwise.",,,"Test3425Test",,,"Create AddressScreening that matches and call method, verify true is returned.  Create AddressScreening that doesn't match, verify false returned.","Cath","Complete",,,
3440,"javax.slee.AddressPresentation","equals",,"Pfd2","Method","3425",,,,,,,,,,,,,,
3441,,,"4","Pfd2","Assertion",,,"Low","Returns true if obj is an instance of this class representing the same address screening value as this, false otherwise.",,,"Test3425Test",,,"Create AddressScreening that matches and call method, verify true is returned.  Create AddressScreening that doesn't match, verify false returned.","Cath","Complete",,,
3442,"javax.slee.AddressPresentation","hashCode",,"Pfd2","Method","3425",,,,,,,,,,,,,,
3443,,,"3","Pfd2","Assertion",,,"Low","Returns a hash code value.",,,,,,,,,,,
3444,"javax.slee.AddressPresentation","toString",,"Pfd2","Method","3425",,,,,,,,,,,,,,
