"Last: 2510","JAIN SLEE 1.0 Technical Specification Assertions",,,,,"T?: 0",,9,306,503,74,90,462,"Active: 1"
2175,"6.5.1","1.7.1 ","Pfd3","Removed",,,"Whether the sbb-alias-ref element of the cmp-field deployment descriptor is present determines whether the CMP field can hold a reference to an SBB entity. If the sbb-alias-ref element is not present, the CMP field cannot hold a reference to an SBB entity.",,,,,,,
2174,"6.5.1","1.7.2","Pfd3","Ap Req",,,"If the Java type of the CMP field is an SBB local interface (i.e., SbbLocalObject, or a type derived from SbbLocalObject), then the sbb-alias-ref element must be present.",,,"Test2174Test",,,"Create a CMP field, but don't specify sbb-alias-ref.  Try to store an SBB entity in the CMP field.  Ensure that IllegalArgumentException is thrown.","Complete"
2466,"6.5.1","1.7.2","Pfd3","Ap Req",,,"An sbb-alias-ref element cannot be declared for a CMP field of a Java type other than SbbLocalObject or a type derived from SbbLocalObject.",,,"Test2466Test",,,"Create a CMP field, specify sbb-alias-ref.  Define the CMP field to store int type in the SBB.","Complete"
2176,"6.5.1","1.7.3","Pfd3","Ap Req",,,"The Java type of the CMP field must be the same type or a base type of the SBB local interface of the SBB component specified by the sbb-alias-ref element.",,,"Test2176Test",,,"Specify CMP field to take ParentSbbLocalObject in the Java source, but ChildSbbLocalObject in the XML.","Complete"
2177,"6.5.1","1.7.4","Pfd3","Ap Req",,,"If the sbb-alias-ref element is present, only null and references to valid SBB entities of the SBB component identified by the sbb-alias-ref element can be stored in the CMP field.",,,"Test2177Test",,,"Try to store null in SbbLocalObject type CMP field.  Verify that this is permitted.","Complete"
397,"6.5.1","1.7.4","Pfd3","Removed",,,"If a method on an SBB local object returned by the get accessor method of a CMP field that holds an invalid reference is invoked, the method will mark the transaction for rollback and throw a javax.slee.TransactionRolledbackLocalException.",,,"Test397Test",,,"Store a copy of an SbbLocalObject in a CMP field.  Destroy the child that it refers to, call getFoo() and try to invoke a method on that SbbLocalObject.  This test has already been covered elsewhere, but perhaps not using CMP fields.","Removed"
2361,"6.5.1","1.7.4","Pfd3","Covered",2177,,"The SLEE implemented set accessor method must throw the java.lang.IllegalArgumentException if any other SBB entity reference, or an invalid reference to an SBB entity of the SBB component identified by the sbb-alias-ref element, is passed to the set accessor method.",,,,,,,
398,"6.5.1","1.8","Pfd2","Impossible",,,"The CMP  field accessor methods are mandatory transactional methods (see Section 9.6.1).  They throw a javax.slee.TransactionRequiredLocalException if they are invoked without a valid transaction context.",,"We never have a guaranteed 'non-transactional' context to test from.",,,,,
399,"6.5.1","1.9","Pfd2","Impossible",,,"These methods may also throw a javax.slee.SLEEException if the operation cannot be completed due to a system-level failure.",,,,,,,
400,"6.5.1","1.10","Pfd2","Ap Req",,,"Neither the get accessor method nor the set accessor method can include a throws clause.",,,,,,,
401,"6.7","2.1","Pfd2","Ap Req",,,"The method must be declared as public and abstract.",,,,,,,
402,"6.7","2.1","Pfd2","Self-Evident",,,"The SLEE provides the concrete implementation of the get Profile CMP method when the SBB is deployed.",,,,,,,
403,"6.7","2.2","Pfd2","Ap Req",,,"The method name must not begin with ""sbb"" or ""ejb"" and must be a valid Java identifier.",,,,,,,
404,"6.7","2.3","Pfd2","Ap Req",,,"The Java type of the only input argument must be ProfileID.",,,,,,,
405,"6.7","2.3.1.1","Pfd2","Assertion",,,"It throws a javax.slee.profile.UnrecognizedProfileTableNameException if the ProfileID object does not identify a Profile Table created from the Profile Specification.",,,,,,,
406,"6.7","2.3.1.2","Pfd2","Assertion",,,"If the Profile identifier identifies a Profile Table created from the Profile Specification, then this method throws a javax.slee.profile.UnrecognizedProfileNameException if the ProfileID object does not identify a Profile within the Profile Table.",,,,,,,
407,"6.7","2.4","Pfd2","Ap Req",,,"The return type must be the Profile CMPinterface of the Profile Specification.",,,,,,,
408,"6.7","2.5","Pfd2","Assertion",,,"The SBB object must have an assigned SBB entity when it invokes this method. Otherwise, this method throws a java.lang.IllegalStateException.",,,"Test408Test",,,"Abstract class getProfileCMP() methods.  Try to access this from a method called when not in the ready state: SbbCreate()","Complete"
409,"6.7","2.5","Pfd2","Ap Req",,,"This exception is not declared in the throws clause.",,,,,,,
410,"6.7","2.6","Pfd2","Impossible",,,"It is a mandatory transactional method.  It throws a javax.slee.TransactionRequiredLocalException if it is invoked without a valid transaction context.  This exception is not declared in the throws clause.",,"We never have a guaranteed 'non-transactional' context to test from.",,,,,
411,"6.7","2.7","Pfd2","Impossible",,,"It throws a javax.slee.SLEEException if the requested operation cannot be performed due to a system-level failure.  This exception is not declared in the throws clause.",,,,,,,
412,"6.8","1","Pfd2","Ap Req",,,"For each child relation of the SBB, the SBB Developer must declare an abstract get child relation method in the SBB abstract class and include a get-child-relation-method deployment descriptor element in the SBB's deployment descriptor.",,,,,,,
413,"6.8","2.1","Pfd2","Ap Req",,,"The method must be declared as public and abstract.  The SLEE provides the concrete implementation of the get child relation method when the SBB is deployed.",,,,,,,
414,"6.8","2.2","Pfd2","Ap Req",,,"The method name must not begin with ""sbb"" or ""ejb"".",,,,,,,
415,"6.8","2.3","Pfd2","Ap Req",,,"The method does not have a throws clause.",,,,,,,
416,"6.8","2.4","Pfd2","Ap Req",,,"The return type must be javax.slee.ChildRelation.  An SBB entity invokes the returned ChildRelation object to create child SBB entities and enumerate child SBB entities that belong to this relation.",,,,,,,
2178,"6.8","2.5",,"Repeat",2117,,"The ChildRelation object and its Iterator objects are only valid within the same transaction in which the ChildRelation object was obtained.",,,,,,,
417,"6.8","2.6","Pfd2","Ap Req",,,"The name of this method must be a valid Java identifier.",,,,,,,
418,"6.8","2.7","Pfd2","Ap Req",,,"The method must not throw any checked exceptions.",,,,,,,
419,"6.8","2.8","Pfd2","Assertion",,,"The SBB object must have an assigned SBB entity when it invokes this method. Otherwise, this method throws a java.lang.IllegalStateException.",,,"Test419Test",,,"GetChildRelation() method.  Call on SBB not in the ready state, from SbbCreate().","Complete"
2387,"6.8","2.8","Pfd2","Ap Req",,,"This exception is not declared in the throws clause.",,,,,,,
420,"6.8","2.9","Pfd2","Impossible",,,"It is a mandatory transactional method.  It throws a javax.slee.TransactionRequiredLocalException if it is invoked without a valid transaction context.",,"We never have a guaranteed 'non-transactional' context to test from.",,,,,
421,"6.8","2.10","Pfd2","Impossible",,,"It throws a javax.slee.SLEEException if the requested operation cannot be performed due to a system-level failure.",,,,,,,
422,,,"Pfd3","Removed",,,"If the SBB local object is invalid or not a member of this child relation, then this method returns false.",,,"Test422Test",,,"ChildRelation.contains(SbbLocalObject)  See if the relation contains the parent SbbLocalObject, or another child's.  Ensure that false is returned.","Removed"
423,,,"Pfd3","Removed",,,"If the obj argument is null, then this method throws a java.lang.NullPointerException.",,,,,,,
424,"6.8.1","2.3","Pfd3","Removed",,,"These methods are mandatory transactional methods (see Section 9.6.1).  They throw the javax.slee.TransactionRequiredLocalException if they are invoked without a valid transaction context.",,"We never have a guaranteed 'non-transactional' context to test from.",,,,,
425,"6.8.1","2.4","Pfd3","Removed",,,"These methods throw a javax.slee.SLEEException if the requested operation cannot be performed due to a system-level failure.",,,,,,,
426,"6.8.2","1.3","Pfd2","Impossible",,,"This method is a mandatory transactional method (see Section 9.6.1).  It throws a javax.slee.TransactionRequiredLocalException if it is invoked without a valid transaction context.",,"We never have a guaranteed 'non-transactional' context to test from.",,,,,
427,"6.8.2","1.4","Pfd2","Impossible",,,"This method throws a javax.slee.SLEEException if the child SBB entity could not be created due to a system-level failure.",,,,,,,
428,"6.8.3","1.2","Pfd3","Removed",,,"The Iterator object must throw the java.lang.UnsuppportedOperationException whet its remove method is invoked.",,,"Test428Test",,,"ChildRelation.iterator().remove() should throw UnsupportedOperationException.","Removed"
429,"6.8.3","1.3","Pfd3","Removed",,,"This method is a mandatory transactional method (see Section 9.6.1).  It throws a javax.slee.TransactionRequiredLocalException if it is invoked without a valid transaction context.",,"We never have a guaranteed 'non-transactional' context to test from.",,,,,
430,"6.8.3","1.4","Pfd3","Removed",,,"This method throws a javax.slee.SLEEException if the Iterator object cannot be obtained due to a system-level failure.",,,,,,,
2101,"6.8.3","1","Pfd3","Covered",2106,,"A ChildRelation object is also a collection that contains a set of SBB local objects that represent each child SBB entity of the child relation.",,"The fact that it is a collection is self-evident.  The fact that is contains the set of SBB local objects that represent each child SBB entity of the child relation is covered by 2106",,,,,
2102,"6.8.3","1.1","Pfd3","Assertion",,,"The size method: This method returns the number of child SBB entities in this child relation.",,,"Test2101Test",,,"Check that the right number of children are returned.","Complete"
2103,"6.8.3","1.2","Pfd3","Assertion",,,"The isEmpty method: This method returns true if there are no child SBB entities in this child relation.",,,"Test2101Test",,,"Ensure that this returns false when children are in the collection.","Complete"
2104,"6.8.3","1.3","Pfd3","Assertion",,,"The contains method:  This method returns true if the SBB entity represented by the SBB local object specified by the input argument is a member of this child relation. If the method argument is not an SBB local object, is an invalid SBB local object, or is an SBB local object whose underlying SBB entity is not a member of this child relation, then this method returns false.",,,"Test2101Test",,,"Verify that it returns true for a valid child.","Complete"
2105,"6.8.3","1.4","Pfd3","Assertion",,,"The containsAll method:  This method returns true if all SBB entities represented by the SBB local objects in the collection specified by the input argument are members of this child relation. If the collection contain an object that is not an SBB local object, an SBB local object that is invalid, or an SBB local object whose underlying SBB entity is not a member of this child relation, then this method returns false.",,,"Test2101Test",,,"Verify that containsAll returns true for a set of valid children.","Complete"
2106,"6.8.3","1.5","Pfd3","Assertion",,,"The toArray methods: The SLEE must implement these methods by following the contract defined by the java.util.Collection interface. The ordering of the elements in the returned arrays is unspecified.",,,"Test2101Test",,,"Can only verify that the children are correctly put into the returned array - not possible to ensure that the returned array is safe.","Complete"
2107,"6.8.3","1.6.1","Pfd3","Assertion",,,"The add methods: add and addAll: Any attempts to add to the child relation using these methods result in a java.la­ng.Unsup­ported­OperationException. For example, the SLEE must throw the Unsupported­Operation­Exception when these methods are invoked with arguments that add to the collection. ",,,"Test2101Test",,,"Try adding to the ChildRelation with add and addAll, ensure that UnsupportedOperationException is thrown in both cases.","Complete"
2108,"6.8.3","1.6.2","Pfd3","Impossible",,,"... An invocation of an add method that has no effe ct on the collection, such as invoking the addAll method with an empty collection may or may not throw an UnsupportedOperationException . ",,,,,,,
2109,"6.8.3","1.6.3","Pfd3","Assertion",,,"... The create method of the ChildRelation interface should be used to create a child SBB entity. This causes the SLEE to automatically add an SBB local object that represents the newly created SBB entity to the collection.",,,"Test2109Test",,,"Check Collection returned for its size and contents.  Use the create() method and verify that the new Collection contains the newly created SbbLocalObject and has correct size.","Complete"
2110,"6.8.3","1.7.1 ","Pfd3","Assertion",,,"The remove methods: clear, remove, removeAll and retainAll: These methods may remove SBB entities from the child relation. The input argument specifies which SBB entities will be removed from the child relation or retained in the child relation by specifying the SBB local object or collection of SBB local objects that represent the SBB entities to be removed or retained. ",,,"Test2110Test",,,"Create 10 children in the child relation. Call remove(one child) verify that the remaining children are correct.  Call remove(vector(several children)) verify that remaining children are correct.  Call retainall(vector) verify remaining children are correct.  Call clear() verify that there are no remaining children.","Complete"
2111,"6.8.3","1.7.2","Pfd3","Assertion",,,"Removing an SBB entity from a child relation initiates a cascading removal of the SBB entity tree rooted by the SBB entity, similar to invoking the remove method on an SBB local object that represents the SBB entity.",,,"Test309Test",,,"From test description for 309:  Create child.  In root's event handler remove the child, record the current TXN id.  In the child's sbbRemove() send the TXN to the TCK.  TCK verifies that the two TXN ids it has received are the same.","Complete"
2112,"6.8.3","1.8.1","Pfd3","Covered","2113,2114",,"The iterator method and the Iterator objects returned by this method: The SLEE must implement the methods of the Iterator objects returned by the iterator method by following the contract defined by the java.util.Iterator interface.  ",,,,,,"Covered by below...",
2113,"6.8.3","1.8.2","Pfd3","Assertion",,,"The next method of the Iterator object returns an object that implements the SBB local interface of the child SBB of the child relation. Java typecast can be used to narrow the returned object reference to the SBB local interface of the child SBB. ",,,"Test2113Test",,,"Verify that the next() operation on the returned Iterator returns a SbbLocalObject.","Complete"
2114,"6.8.3","1.8.3","Pfd3","Assertion",,,"The remove method of the Iterator object removes the SBB entity that is represented by the last SBB local object returned by the next method of the Iterator object from the child relation. ",,,"Test2113Test",,,"Verify that the most recently returned by next() SbbLocalObject is removed when the remove() method of the Iterator is called.","Complete"
2115,"6.8.3","1.8.3.1","Pfd3","Assertion",,,"Removing an SBB entity from a child relation by invoking this remove method initiates a cascading removal of the SBB entity tree rooted by the SBB entity, similar to invoking the remove method on an SBB local object that represents the SBB entity.",,,"Test2115Test",,,"Create child.  Remove child via iterator.remove().  Verify that cascading removal of child sbb takes place (sbbRemove() method returns test pass).","Complete"
2116,"6.8.3","1.8.3.2","Pfd3","Impossible",,,"The behavior of the Iterator object is unspecified if the underlying child relation is modified while the iteration is in progress in any way other than by calling this remove method.",,,,,,,
2117,"6.8.3","1.8.4","Pfd3","Ap Recom",,,"The ChildRelation object and its Iterator objects are only valid within the same transaction that invoked the get child relation method to obtain the ChildRelation object.",,"There's no indication of expected SLEE behaviour where the object is used in another transaction.  This assertion only mandates that an SBB should not reuse the returned Object in another transaction.",,,,,
2118,"6.8.3","1.8.5","Pfd3","Assertion",,,"If any of the arguments to one of these methods are null, then the method throws a java.lang.NullPointerException.",,,"Test2118Test",,,"Call ChildRelation.add(null) and ChildRelation.remove(null).  Verify that null pointer exception is thrown.","Complete"
431,"6.8.4","1","Pfd2","Impossible",,,"The methods of the ChildRelation interface have mandatory transaction semantics.  Hence, these methods must be invoked within a transaction (see Section 9.6.1).",,"We never have a guaranteed 'non-transactional' context to test from.",,,,,
432,"6.8.4","1.2","Pfd2","Assertion",,,"The SLEE will throw javax.slee.NoSuchObjectLocalException if an SBB local object that represents the removed SBB entity is invoked.",,"Create child SBB, remove it, invoke operation on it and ensure that javax.slee.TransactionRolledbackLocalException is thrown.","Test432Test",,,"Create child. Remove child.  Call childLocaObject.getSbbPriority().  Verify that exception is thrown.","Complete"
433,,"1","Pfd3","Removed",,,"If the child not attached callback method is specified, the SLEE invokes this method when the attachment count of a child SBB entity decrements to zero (see Section 2.2.13).",,,,,,,
434,,"2.1","Pfd3","Removed",,,"The method must be public and must not be abstract or static.",,,,,,,
435,,"2.2","Pfd3","Removed",,,"The return type of the method must be void.",,,,,,,
436,,"2.3","Pfd3","Removed",,,"The name of the method must be a valid Java identifier.",,,,,,,
437,,"2.4","Pfd3","Removed",,,"The method must not throw any checked exceptions.",,,,,,,
438,,"2.5","Pfd3","Removed",,,"The method must not be exposed through the SBB local interface of the SBB.",,,,,,,
439,,"2.6","Pfd3","Removed",,,"The method is a mandatory transactional method (see Section 9.6.1).",,,,,,,
440,,"2.6.1","Pfd3","Removed",,,"The SLEE invokes this method within a transaction some time after the original transaction that decemented the attachment count of the child SBB to zero has committed.",,,,,,,
441,,"4","Pfd3","Removed",,,"This method can only be specified if the SBB has at least one child SBB declared in its deployment descriptor.",,,,,,,
442,"6.9","1","Pfd3","Removed",,,"The SLEE invokes this callback method when the Administrator deactivates a Service (see Section 2.2.18 and Section 13.8).  The SLEE invokes this method on each SBB entity that is a member of an SBB entity tree instantiated by the SLEE for the Service.",,,,,,,
443,"6.9","2","Pfd3","Removed",,,"The callback invocation is post-order.  The child SBB entities get their sbbServiceDeactivated callbacks before the parent SBB entity.  ",,,,,,,
444,"6.9","2","Pfd3","Removed",,,"Among sibling SBB entities , a higher priority sibling SBB entity gets the callback before a lower priority SBB entity. ",,,,,,,
445,"6.9","2","Pfd3","Removed",,,"Callback order among sibling SBB entities with the same priority is not specified.",,,,,,,
446,"6.9","4.1","Pfd3","Removed",,,"This method must be public and must not be abstract or static.",,"Cannot change from public to anything else - the Java compiler will not allow it as the Sbb interface defines this method as public.  Same applied to the static modifier.  Therefore: test that the method must be implemented (i.e. Not abstract)",,,,,
447,"6.9","4.2","Pfd3","Removed",,,"The return type of the method must be void.",,"Can't declare invalid return type - compiler will prevent compilation.",,,,,
448,"6.9","4.3","Pfd3","Removed",,,"The method must not throw any checked exceptions.",,"Can't declare invalid return type - compiler will prevent compilation.",,,,,
449,"6.9","4.4","Pfd3","Removed",,,"The method must not be exposed through the SBB local interface of the SBB.",,,,,,,
450,"6.9","4.5","Pfd3","Removed",,,"The method is a mandatory transactional method (see Section 9.6.1).",,,,,,,
451,"6.9","4.5.1","Pfd3","Removed",,,"The SLEE invokes this method within a transaction some time after the Administrator deactivates the Service.  ",,,,,,,
452,"6.9","4.5.1","Pfd3","Removed",,,"The Administrator's deactivate request does not block until the sbbServiceDeactivated callback methods of the relevant SBB entities have been invoked and returned (see Section 13.8).",,,,,,,
453,"6.9","4.6","Pfd3","Removed",,,"The SLEE only invokes this method on an SBB object in the Ready state.",,"Can't force the SLEE to invoke it on an Sbb object not in the ready state; just test that the object is in the Ready state when the method is called.",,,,,
454,"6.9","4.7","Pfd3","Removed",,,"The SLEE will invoke this method at most once for each SBB entity.",,,,,,,
455,"6.9","1","Pfd3","Assertion",,,"The SLEE invokes the sbbExceptionThrown callback method to handle RuntimeExceptions thrown by the event handler methods, the transaction rolled back callback method and the logical cascade removal method of the SBB abstract class.  ",,,"Test455Test",,,"Cause an exception to be thrown in a SLEE invoked method of the SBB abstract class.  Ensure that sbbExceptionThrown() callback is called - return test pass from it.  Return test failure on timeout.","NeedsUpdating"
456,"6.9","2","Pfd3","Ap Recom",,,"A well written SBB should not throw any RuntimeExceptions from any of its SLEE invoked methods. Instead the SBB should place the exception handling logic in a try {} catch () {} clause and handle RuntimeExceptions within each invoked method.",,,,,,,
457,"6.9.1","1","Pfd3","Assertion",,,"When a SLEE originated mandatory transaction method is invoked on an SBB object and the invocation returns with a RuntimeException thrown the SLEE marks the transaction of the invocation for rollback, logs the condition, then invokes the sbbExceptionThrown method of the same SBB object with the same transaction, moves the SBB object to the Does Not Exist state, ...",,"Can only test that txn is same txn, the txn is marked for rollback in sbbExceptionThrown(), and sbbExceptionThrown() invoked on same SBB object","sbb.abstractclass.SbbExceptionThrownEvent",,"Use CMP state to check transaction separation.  Use local state to check same SBB object.  Use SbbContext to check txn marked for rollback","In eventhandler method: store well-known local state in sbb object and CMP field then throw unchecked exception.  In sbbExceptionThrown check that the transaction is marked for rollback and sbb object local state and CMP state equals what was set.","Complete"
2129,"6.9.1","1.3.1","Pfd3","Assertion",,,"The SBB object may be in the Pooled or the Ready state.  For example if the sbbCreate() method throws a RuntimeException then the SBB object remains in the Pooled state when the SLEE invokes the sbbExceptionThrown method on the SBB object.  If an event handler method throws a RuntimeException, then the SBB object remains in the Ready state when the SLEE invokes the sbbExceptionThrown method on the SBB object.",,,"Test2129Test",,,"Throw RuntimeException from sbbCreate(), verify that SBB object is in the Pooled state in the sbbExceptionThrown() callback.  It may be that the only way to determine the state of an SBB is to try an operation that fails if the SBB is not in the Ready state.  I.e. getSbbContext().getActivities() will only work if the SBB is in the Ready state.","Complete"
458,"6.9.1","1.6","Pfd3","Impossible",,,"If the sbbExceptionThrown method of the SBB object returns with another RuntimeException thrown, the SLEE must log this condition.  ",,,,,,,
459,"6.9.1","1.6","Pfd3","Assertion",,,"The sbbExceptionThrown method is not reinvoked in this case.",,,"sbb.abstractclass.SbbExceptionThrownRethrow",,,"Fire two events at SBB.  First event-handler method throws runtime exception.  If sbbExceptionThrown method not been invoked before it sets a flag and rethrows a runtime exception, otherwise it notifies the test engine of reinvocation.  Second event-handler method notifies of completion of test.","Complete"
460,"6.9.2","1","Pfd3","Impossible",,,"When the SLEE invokes a non-transactional method of an SBB object and the invocation returns by throwing a RuntimeException, the SLEE performs the following sequence of operations: (1) it moves the SBB object to the Does Not Exist state (2) it must log this occurence.",,"The non-transactional methods invoked on an Sbb object are setSbbContext, unsetSbbContext, sbbActivate and sbbPassivate.  We cannot force calls to sbbActivate and sbbPassivate (see 368,371). We cannot test for setSbbContext(), as throwing a RuntimeException from this method will prevent the Sbb object from leaving the Does Not Exist state anyway. We cannot test for unsetSbbContext(), as this call indicates that the Sbb object is already being moved to the Does Not Exist state.",,,,,
461,"6.9.3","1.1","Pfd3","Ap Req",,,"The sbbExceptionThrown method must be declared as public and cannot be static, abstract, or final.",,,,,,,
462,"6.9.3","1.2","Pfd3","Assertion",,,"The exception argument is the exception thrown by one of the methods invoked by the SLEE.",,,"sbb.abstractclass.SbbExceptionThrownEvent",,"SLEEException with known message, with a nested Exception with a known message.","Throw exception from event handler method.  Checks in sbbExceptionThrown that exception parameter has the same type, message, and nested exception as that thrown","Complete"
463,"6.9.3","1.3","Pfd3","Assertion",,,"If the method that threw the exception is an event handler method, the event and activity arguments will be the event and activity arguments of the event handler method.  Otherwise, the event and activity arguments will  be null.",,"Test from both event-handler and non-eventhandler exceptions","(1) sbb.abstractclass.SbbExceptionThrownNonEvent and (2) sbb.abstractclass.SbbExceptionThrownEvent",,"(1) SLEEException from non-eventhandler method.  (2) SLEEException from event-handler method.","(1) throw exception from sbbPostCreate method, check event and activity arguments to sbbExceptionThrown are null. (2) in event-handler method: store event and activity arguments in sbb local state, then throw exception; check in sbbExceptionThrown that event and activity arguments are equal to those stored in local state. ","Complete"
464,"6.9.3","1.4","Pfd3","Assertion",,,"The sbbExceptionThrown method is a mandatory transactional method.",,,"Test464Test",,,"Throw Runtime Exception, verify that sbbExceptionTHrown() is executed with a txn.","Complete"
465,"6.9.3","1.5","Pfd3","Impossible",,,"The SLEE does not invoke the sbbExceptionThrown method if a non-transactional method invocation returns by throwing a RuntimeException.","There are no non transactional methods in Sbb or SbbLocalObject","Untestable: there are no non-transactional methods where a test can reliably be launched from.",,,,,
2138,"6.9.3","1.6","Pfd3","Impossible",,,"The sbbExceptionThrown method may be invoked on an SBB object in the Ready state. The state of the SBB object remains the same, it is the state at the point that the RuntimeException was thrown. The SBB object moves to the Does Not Exist state after the sbbExceptionThrown method has been invoked.",,,,,,"First part covered by 2129, but the second part is untestable - i.e. It's not possible to insert code to find out the state of the SBB after the sbbExceptionThrown method has been invoked.",
466,"6.10.1","2.1","Pfd3","Ap Req",,,"The sbbRolledBack method must be declared as public and cannot be static, abstract, or final.",,,,,,,
467,,,"Pfd3","Removed",,,"The event and activity argument will be null if the transaction that was rolled back has not invoked an event handler method.",,,"sbb.abstractclass.SbbRolledBackNonEvent","SbbRolledBack() may be invoked if transactional method throws a runtime exception, or flags the transaction for rollback.","Flag transaction for rollback in transactional, non-event handler method","Flag transaction for rollback in sbbPostCreate() using SbbContext.setRollbackOnly().  Check in sbbRolledBack() that event and activity parameter are null","Removed"
468,"6.10.1","2.2","Pfd3","Assertion",,,"This method is invoked with a new transaction context.",,,"sbb.abstractclass.SbbRolledBackNewTransaction",,"Use CMP state to check transaction separation.","Set CMP state in first transaction, mark transaction for rollback.  Check in sbbRolledBack method that CMP state has original value.","Complete"
2130,"6.10.1","2.3","Pfd3","Covered",2121,,"This method is a mandatory transactional method.",,,,,,,
2131,"6.10.1","2.4","Pfd3","Covered",2122,,"This method is only invoked on SBB objects in the ready state.",,,,,,,
469,"6.10.1","2.5","Pfd3","Assertion",,,"If this method returns by throwing an exception, the SLEE processes this exception like the exception has been thrown from an event handler method, i.e. by invoking the sbbExceptionThrown method in the same transaction.",,,"sbb.abstractclass.SbbRolledBackNewTransaction",,"Use CMP state to check same transaction","Set CMP state in sbbRolledBack, mark txn for rollback and throw runtime exception.  Check in sbbExceptionThrown that CMP state has state set in sbbRolledBack","Complete"
470,"6.10.1","2.6","Pfd3","Assertion",,,"In the case that a RuntimeException causes the transaction to be rolled back, the sbbRolledBack method is always invoked after the sbbExceptionThrown method.",,,"sbb.abstractclass.SbbExceptionThrownRolledBackOrdering",,,"Send messages from sbb to test unit in sbbExceptionThrown and sbbRolledBack.  Check ordering of invocations is correct.","Complete"
471,"6.10.1","2.6","Pfd3","Repeat",469,,"If the sbbRolledBack method returns by throwing a RuntimeException, then the sbbExceptionThrown method will be invoked again in the same transaction that invoked the sbbRolledBack method.",,,,,,,
472,,,"Pfd3","Removed",,,"Only one sbbRolledBack method is invoked per transaction rolled back.",,"Similar to 474 (if a txn rolls back, one and only one sbbRolledBack should be invoked)","sbb.abstractclass.SbbRolledBackReinvocation",,"Count number of times sbbRolledBack is invoked","Rollback the event-handler and sbbRolledBack transactions.  The sbbRolledBack method should be invoked once only.","Removed"
473,,,"Pfd3","Removed",,,"The sbbRolledBack method invoked is the sbbRolledBack method of the SBB abstract class directly invoked by the SLEE at the beginning of the transaction.  The SLEE will only invoke the sbbRolledBack  method of the first SBB invoked in the call-chain of the transaction.",,,"sbb.abstractclass.SbbRolledBackReinvocation",,"Use a child sbb to create an ""invocation chain"", and use the child to cause the transaction to roll back.","In eventhandler method, create a child sbb and invoke via local interface.  The child causes the txn to roll back by throwing a runtime exception.  The sbbRolledBack method should be called on the parent sbb.","Removed"
474,"6.10.1","2.7","Pfd3","Assertion",,,"If the transaction that invoked the sbbRolledBack method also rolls back, the SLEE must log this condition and not invoke the sbbRolledBack method again.",,"Similar to 472 (if a txn rolls back, one and only one sbbRolledBack should be invoked)","Test474Test",,"Count number of times sbbRolledBack is invoked","Rollback the event-handler and sbbRolledBack transactions.  The sbbRolledBack method should be invoked once only.","Complete"
2119,"6.10.1","2.8","Pfd3","Context",,,"When the SLEE rolls back a txn, the SLEE may start zero or more new txns to deliver txn rolled back callbacks.",,,,,,,
2120,"6.10.1","2.8.1","Pfd3","Impossible",,,"If the rolled back txn does not invoke any SBB entities, i.e. None of the SLEE originated invocations of the txn have a target SBB entity, then the SLEE does not start any new txns to deliver txn rolled back callbacks.",,,,,,,
2121,"6.10.1","2.8.2","Pfd3","Assertion",,,"If the rolled back txn includes one or more SLEE originated invocations, then the SLEE starts a new transaction to deliver a txn rolled back callback for each of the SLEE originated invocations in the txn that has a target SBB entity.",,,"Test2121Test",,,"Cause an event handler TXN to rollback.  Verify that the TXN the sbbRolledBack callback is executed in is different to that used for the event handler.","Complete"
2122,"6.10.1","2.8.2.1","Pfd3","Assertion",,,"The SLEE may or may not be successful in delivering a transaction rolled back callback.  For example, if the SLEE does not already have an SBB object in the Ready state that represents the target SBB entity, then the SLEE has to invoke the necessary lifecycle  methods on an SBB object before it can invoke the sbbRolledBack method.  The SLEE does not invoke the sbbRolledBack method if one of these life cycle methods throws a RuntimeException and cause the txn  to be rolled back before the SLEE has an opportunity to invoke the sbbRolledBack method.",,,"Test2122Test",,,"Fire initial event on SBB.  In sbbPostCreate() cause TXN to rollback.  Verify that sbbRolledBack() is not called.","Complete"
2123,"6.10.1.1","1.1","Pfd3","Assertion",,,"The getEvent() and getActivityContextInterface methods return null if the txn that was rolled back did not deliver an event to an SBB.  Otherwise, these methods return the event object and the Activity Context that of the event that should be handled by the transaction that was rolled back, respectively.",,,"Test2123Test",,,"Fire initial event on SBB.  In event handler cause TXN to rollback.  Verify that sbbRolledBack() is called and the right arguments are presented to it.","Complete"
2124,"6.10.1.1","1.1.1","Pfd3","Removed",,,"The event handler method may not be invoked in the txn that was rolled back even if the getEvent and getACI methods do not return null.  For example, the event handler method is not invoked if a SLEE originated lifecycle method invocation throws a Runtime Exception before the SLEE has an opportunity to invoke the event handler method.","Change 'do not return null' to 'return null'.",,"Test2124Test",,,,"Removed"
2125,"6.10.1.1","1.2","Pfd3","Assertion",,,"The isRemovedRolledBack method returns true if the txn that was rolled back includes a SLEE-originated logical cascading  removal method invocation.",,,"Test2125Test",,,"Can't test the return true case - sbbRemove() would need to cause a rollback, and if sbbRemove() doesn't complete the TCK won't see all the SBBs as removed and therefore won't be able to move to the next test.  Can test the false case with a regularly rolled back TXN.","Complete"
2126,"6.10.1.1","1.2.1","Pfd3","Impossible",,,"The SLEE originated logical cascading removal method invocation must have been initiated in the txn that has been rolled back for this method to return true.",,,,,,"See above.",
